# panacus report panacus_report.yaml
panacus	growth	growth	growth	growth	growth	growth	growth	growth	growth	growth	growth	growth
count	bp	bp	bp	bp	node	node	node	node	edge	edge	edge	edge
coverage	1	2	2	2	1	2	2	2	1	2	2	2
quorum	0	0.1	0.5	1	0	0.1	0.5	1	0	0.1	0.5	1
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	44023389	39172422	39172422	39172422	4312921	4178188	4178188	4178188	4313964	4037816	4037816	4037816
2	63884543	24162235	24162235	24162235	5815598	2810244	2810244	2810244	6251950	2375978	2375978	2375978
3	79454511	32744606	32744606	19871050	6754386	3938022	3938022	2246354	7543070	3669708	3669708	1729114
4	92694048	39735899	39735899	17910296	7448331	4672552	4672552	1927308	8549664	4523290	4523290	1366776
5	104370019	45990167	30354498	16716406	8001372	5236166	3827129	1712201	9388426	5194614	3516304	1121135
6	114890749	51766368	34437767	15881053	8461743	5699515	4309470	1552799	10113566	5762729	4058385	937982
7	124507772	57188611	29407110	15247443	8856156	6095266	3775246	1427580	10755471	6262133	3450605	793498
8	133390546	62328352	32279712	14740856	9201079	6441697	4133744	1325263	11333205	6711334	3847038	675191
9	141660433	67231455	28912884	14320550	9507436	6750222	3745682	1239268	11859652	7121629	3414606	575717
10	149408229	71930263	31122257	13962223	9782870	7028528	4030669	1165451	12343997	7500548	3726776	490405
11	156704097	76449553	28621032	13650408	10032947	7282107	3727178	1101047	12793051	7853454	3392393	416103
12	163603603	80809530	30414272	13374742	10261845	7515063	3963570	1044126	13212023	8184361	3649837	350588
13	170151625	85027342	28436115	13127979	10472785	7730573	3714908	993291	13604992	8496394	3377630	292233
14	176384994	89117830	29949637	12904865	10668294	7931160	3916931	947492	13975218	8792056	3596760	239813
15	182334359	93093884	28308824	12701459	10850396	8118865	3706316	905927	14325348	9073396	3367304	192382
16	188025543	96966599	29626400	12514720	11020732	8295361	3883010	867962	14657563	9342120	3558215	149193
17	193480555	100745351	28214874	12342235	11180651	8462027	3700102	833090	14973682	9599668	3359716	109649
18	198718361	104437856	29384377	12182051	11331277	8620014	3857094	800899	15275236	9847268	3528953	73263
19	203755479	108050238	28119012	12032561	11473555	8770278	3694939	771046	15563528	10085977	3355179	39634
20	208606446	111587107	29166822	11892440	11608288	8913627	3835162	743251	15839676	10316721	3507190	8427
