# panacus growth -a -l 1,2,2,2 -q 0,0.1,0.5,1 -S switchgrass_n20-Chr04K.gfa.gz
panacus	hist	growth	growth	growth	growth
count	node	node	node	node	node
coverage		1	2	2	2
quorum		0	0.1	0.5	1
0	0	NaN	NaN	NaN	NaN
1	2694660	4312921	4178188	4178188	4178188
2	1433492	5815598	2810244	2810244	2810244
3	915817	6754386	3938022	3938022	2246354
4	687574	7448331	4672552	4672552	1927308
5	561138	8001372	5236166	3827129	1712201
6	465849	8461743	5699515	4309470	1552799
7	381647	8856156	6095266	3775246	1427580
8	327727	9201079	6441697	4133744	1325263
9	305221	9507436	6750222	3745682	1239268
10	280447	9782870	7028528	4030669	1165451
11	269548	10032947	7282107	3727178	1101047
12	259594	10261845	7515063	3963570	1044126
13	243553	10472785	7730573	3714908	993291
14	259464	10668294	7931160	3916931	947492
15	231221	10850396	8118865	3706316	905927
16	278719	11020732	8295361	3883010	867962
17	322736	11180651	8462027	3700102	833090
18	390713	11331277	8620014	3857094	800899
19	555917	11473555	8770278	3694939	771046
20	743251	11608288	8913627	3835162	743251

